task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
feature_envy_basic_003,full,basic,Healthcare,Design,,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,2,0,6,21.000,12.000,53.314,271.029,4.318,1170.351,3.000,0.000,1.000,374
feature_envy_basic_004,full,basic,Scientific Computing,Evaluate,,0,,0,,0,3,0,5,20.000,7.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,288
feature_envy_basic_005,full,basic,General Software,Implement,,0,,0,,0,2,0,5,12.000,16.000,84.957,57.359,1.000,57.359,2.000,16.667,0.000,379
feature_envy_basic_006,full,basic,E-commerce,Report,,1,magic_number,1,magic_number,0,2,0,7,26.000,13.000,60.188,87.568,2.692,235.761,7.000,0.000,0.000,559
feature_envy_intermediate_001,full,intermediate,Finance,Implement,,0,,0,,0,2,0,3,16.000,7.000,100.000,0.000,0.000,0.000,3.000,12.500,3.000,467
feature_envy_intermediate_002,full,intermediate,Healthcare,Recommend,,1,long_parameter_list,1,long_parameter_list,0,3,2,6,13.000,7.000,100.000,0.000,0.000,0.000,0.000,30.769,0.000,279
feature_envy_intermediate_003,full,intermediate,Scientific Computing,Report,,0,,0,,0,2,0,9,13.000,4.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,380
feature_envy_intermediate_004,full,intermediate,General Software,Recommend,,2,inefficient_copy;magic_number,2,inefficient_copy;magic_number,0,2,0,11,26.000,12.000,82.400,82.045,1.750,143.578,6.000,26.923,1.000,687
feature_envy_intermediate_005,full,intermediate,E-commerce,Compare,,0,,0,,0,2,0,12,16.000,4.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,335
feature_envy_intermediate_006,full,intermediate,Finance,Evaluate,,0,,0,,0,2,0,3,16.000,7.000,100.000,0.000,0.000,0.000,3.000,12.500,3.000,467
feature_envy_advanced_001,full,advanced,Healthcare,Report,,0,,0,,0,2,0,7,19.000,13.000,85.953,66.417,2.000,132.834,6.000,36.842,0.000,425
feature_envy_advanced_002,full,advanced,Scientific Computing,Implement,,0,,0,,0,2,1,5,9.000,4.000,100.000,0.000,0.000,0.000,0.000,11.111,0.000,286
feature_envy_advanced_003,full,advanced,General Software,Implement,,0,,0,,0,5,0,5,23.000,13.000,71.790,116.692,1.588,185.334,0.000,8.696,0.000,400
feature_envy_advanced_004,full,advanced,E-commerce,List,,1,long_parameter_list,1,long_parameter_list,0,6,0,8,25.000,10.000,100.000,0.000,0.000,0.000,0.000,36.000,3.000,630
feature_envy_advanced_005,full,advanced,Finance,Design,,0,,0,,0,2,2,1,5.000,4.000,100.000,0.000,0.000,0.000,0.000,20.000,0.000,204
feature_envy_advanced_006,full,advanced,Healthcare,Analyze,,0,,0,,0,2,0,7,19.000,13.000,85.953,66.417,2.000,132.834,6.000,36.842,0.000,425
data_clumps_basic_001,full,basic,E-commerce,Report,,1,duplicate_code,0,,0,3,0,1,24.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,554
data_clumps_basic_002,full,basic,Finance,Measure,,1,dead_code,1,dead_code,5,2,1,3,14.000,3.000,100.000,0.000,0.000,0.000,1.000,21.429,5.000,386
data_clumps_basic_003,full,basic,Healthcare,Analyze,,0,,0,,0,,,,1.000,,,,,,,0.000,,589
data_clumps_basic_004,full,basic,Scientific Computing,Measure,,0,,0,,0,3,0,1,6.000,3.000,98.897,39.863,1.000,39.863,0.000,33.333,0.000,355
data_clumps_basic_005,full,basic,General Software,Design,,0,,0,,0,7,0,4,34.000,19.000,54.754,25.266,1.200,30.319,10.000,0.000,4.000,499
data_clumps_basic_006,full,basic,E-commerce,Recommend,,0,,0,,0,,,,1.000,,,,,,,0.000,,595
data_clumps_intermediate_001,full,intermediate,Finance,Recommend,,0,,0,,0,10,0,5,43.000,26.000,45.664,211.520,3.571,755.428,11.000,0.000,4.000,669
data_clumps_intermediate_002,full,intermediate,Healthcare,Recommend,,0,,0,,0,4,3,5,13.000,6.000,100.000,0.000,0.000,0.000,0.000,23.077,0.000,334
data_clumps_intermediate_003,full,intermediate,Scientific Computing,Write,,0,,0,,0,5,3,3,15.000,7.000,100.000,0.000,0.000,0.000,0.000,20.000,3.000,424
data_clumps_intermediate_004,full,intermediate,General Software,Evaluate,,1,long_parameter_list,1,long_parameter_list,0,6,0,6,28.000,18.000,100.000,0.000,0.000,0.000,1.000,14.286,8.000,599
data_clumps_intermediate_005,full,intermediate,E-commerce,Write,,1,long_parameter_list,1,long_parameter_list,0,7,0,6,37.000,20.000,55.898,13.932,0.500,6.966,14.000,0.000,7.000,675
data_clumps_intermediate_006,full,intermediate,Finance,Implement,,0,,0,,0,10,0,5,43.000,26.000,45.664,211.520,3.571,755.428,11.000,0.000,4.000,669
data_clumps_advanced_001,full,advanced,Healthcare,Measure,,1,long_parameter_list,1,long_parameter_list,0,5,4,10,20.000,7.000,100.000,0.000,0.000,0.000,0.000,20.000,0.000,407
data_clumps_advanced_002,full,advanced,Scientific Computing,Report,,1,long_parameter_list,1,long_parameter_list,0,8,4,2,37.000,14.000,100.000,0.000,0.000,0.000,7.000,16.216,7.000,623
data_clumps_advanced_003,full,advanced,General Software,Evaluate,,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,5,5,0,2,37.000,10.000,66.837,25.266,0.500,12.633,6.000,2.703,6.000,679
data_clumps_advanced_004,full,advanced,E-commerce,Recommend,,1,long_parameter_list,1,long_parameter_list,0,5,4,11,21.000,7.000,100.000,0.000,0.000,0.000,0.000,19.048,0.000,496
data_clumps_advanced_005,full,advanced,Finance,Recommend,,1,long_parameter_list,1,long_parameter_list,0,5,4,10,20.000,7.000,100.000,0.000,0.000,0.000,0.000,20.000,0.000,407
data_clumps_advanced_006,full,advanced,Healthcare,Design,,1,long_parameter_list,1,long_parameter_list,0,8,4,2,37.000,14.000,100.000,0.000,0.000,0.000,7.000,16.216,7.000,623
duplicated_code_basic_001,full,basic,E-commerce,Design,duplicate_code,1,duplicate_code,0,,0,3,0,3,19.000,6.000,100.000,0.000,0.000,0.000,6.000,15.789,1.000,448
duplicated_code_basic_002,full,basic,Finance,Measure,duplicate_code,1,duplicate_code,1,duplicate_code,0,3,0,2,6.000,3.000,41.550,68.532,1.000,68.532,0.000,0.000,0.000,385
duplicated_code_basic_003,full,basic,Healthcare,Analyze,duplicate_code,0,,0,,0,2,0,3,10.000,4.000,100.000,0.000,0.000,0.000,2.000,60.000,2.000,449
duplicated_code_basic_004,full,basic,Scientific Computing,Recommend,duplicate_code,0,,0,,1,5,0,3,51.000,9.000,66.142,4.755,0.500,2.377,4.000,1.961,10.000,627
duplicated_code_basic_005,full,basic,General Software,Analyze,duplicate_code,1,magic_number,1,magic_number,0,2,0,7,34.000,30.000,75.552,209.215,1.750,366.126,8.000,23.529,2.000,481
duplicated_code_basic_006,full,basic,E-commerce,Measure,duplicate_code,0,,0,,0,3,0,1,19.000,6.000,100.000,0.000,0.000,0.000,3.000,0.000,3.000,458
duplicated_code_basic_007,full,basic,Finance,Recommend,duplicate_code,1,duplicate_code,0,,0,3,0,3,19.000,6.000,100.000,0.000,0.000,0.000,6.000,15.789,1.000,448
duplicated_code_intermediate_001,full,intermediate,Healthcare,Analyze,duplicate_code,1,duplicate_code,1,duplicate_code,0,12,0,3,52.000,33.000,58.080,142.624,1.000,142.624,12.000,5.769,3.000,737
duplicated_code_intermediate_002,full,intermediate,Scientific Computing,Recommend,duplicate_code,0,,0,,0,5,0,3,25.000,10.000,77.706,25.266,0.500,12.633,3.000,12.000,3.000,505
duplicated_code_intermediate_003,full,intermediate,General Software,Measure,duplicate_code,0,,1,dead_code,5,6,0,2,39.000,18.000,60.253,64.725,3.056,197.771,12.000,2.564,9.000,809
duplicated_code_intermediate_004,full,intermediate,E-commerce,Evaluate,duplicate_code,1,magic_number,1,magic_number,0,6,0,4,37.000,18.000,77.016,101.950,1.500,152.925,12.000,32.432,3.000,779
duplicated_code_intermediate_005,full,intermediate,Finance,Implement,duplicate_code,1,magic_number,2,dead_code;magic_number,6,7,0,8,55.000,12.000,62.919,47.549,2.250,106.985,5.000,5.455,13.000,910
duplicated_code_intermediate_006,full,intermediate,Healthcare,Design,duplicate_code,1,duplicate_code,1,duplicate_code,0,13,0,4,55.000,35.000,58.463,160.540,1.000,160.540,12.000,7.273,5.000,791
duplicated_code_intermediate_007,full,intermediate,Scientific Computing,Measure,duplicate_code,0,,0,,0,5,0,3,25.000,10.000,77.706,25.266,0.500,12.633,3.000,12.000,3.000,505
duplicated_code_advanced_001,full,advanced,General Software,Compare,duplicate_code,1,magic_number,1,magic_number,0,8,0,4,47.000,21.000,45.054,187.487,2.609,489.096,12.000,0.000,4.000,830
duplicated_code_advanced_002,full,advanced,E-commerce,Recommend,duplicate_code,1,duplicate_code,1,duplicate_code,0,9,4,4,37.000,28.000,100.000,0.000,0.000,0.000,5.000,10.811,10.000,709
duplicated_code_advanced_003,full,advanced,Finance,Compare,duplicate_code,0,,0,,3,9,0,3,37.000,16.000,76.970,3.000,1.000,3.000,4.000,8.108,6.000,663
duplicated_code_advanced_004,full,advanced,Healthcare,Analyze,duplicate_code,2,duplicate_code;magic_number,2,duplicate_code;magic_number,0,12,0,3,45.000,21.000,69.014,14.265,1.500,21.397,6.000,6.667,6.000,639
duplicated_code_advanced_005,full,advanced,Scientific Computing,Compare,duplicate_code,1,dead_code,1,dead_code,1,4,0,4,30.000,5.000,87.290,2.000,0.500,1.000,2.000,16.667,8.000,551
duplicated_code_advanced_006,full,advanced,General Software,Measure,duplicate_code,1,magic_number,1,magic_number,0,8,0,4,47.000,21.000,45.054,187.487,2.609,489.096,12.000,0.000,4.000,830
dead_code_basic_001,full,basic,E-commerce,Implement,dead_code,0,,0,,0,3,3,1,7.000,5.000,100.000,0.000,0.000,0.000,0.000,42.857,0.000,133
dead_code_basic_002,full,basic,Finance,Evaluate,dead_code,0,,0,,0,3,0,4,8.000,3.000,91.007,25.266,1.200,30.319,0.000,0.000,2.000,246
dead_code_basic_003,full,basic,Healthcare,Write,dead_code,0,,0,,0,18,1,4,40.000,69.000,52.927,829.436,2.638,2187.789,12.000,2.500,2.000,1345
dead_code_basic_004,full,basic,Scientific Computing,Compare,dead_code,0,,0,,4,6,0,2,25.000,8.000,100.000,0.000,0.000,0.000,1.000,4.000,7.000,447
dead_code_basic_005,full,basic,General Software,Write,dead_code,0,,0,,0,4,0,1,12.000,7.000,87.376,4.755,0.500,2.377,2.000,8.333,3.000,309
dead_code_basic_006,full,basic,E-commerce,Report,dead_code,0,,0,,0,3,3,1,7.000,5.000,100.000,0.000,0.000,0.000,0.000,42.857,0.000,133
dead_code_intermediate_001,full,intermediate,Finance,Evaluate,dead_code,0,,0,,6,5,0,2,26.000,8.000,77.779,84.000,2.333,196.000,2.000,19.231,7.000,509
dead_code_intermediate_002,full,intermediate,Healthcare,Recommend,dead_code,0,,0,,9,13,4,4,45.000,24.000,100.000,0.000,0.000,0.000,1.000,11.111,13.000,574
dead_code_intermediate_003,full,intermediate,Scientific Computing,Implement,dead_code,1,duplicate_code,1,duplicate_code,0,14,4,4,52.000,34.000,100.000,0.000,0.000,0.000,0.000,7.692,0.000,595
dead_code_intermediate_004,full,intermediate,General Software,Analyze,dead_code,1,dead_code,1,dead_code,0,6,4,1,15.000,8.000,100.000,0.000,0.000,0.000,0.000,26.667,2.000,354
dead_code_intermediate_005,full,intermediate,E-commerce,Analyze,dead_code,2,dead_code;duplicate_code,2,dead_code;duplicate_code,0,4,0,4,56.000,15.000,100.000,0.000,0.000,0.000,0.000,0.000,9.000,790
dead_code_advanced_001,full,advanced,Finance,Measure,dead_code,0,,0,,3,7,0,5,26.000,11.000,74.605,4.755,0.500,2.377,2.000,3.846,9.000,562
dead_code_advanced_002,full,advanced,Healthcare,Evaluate,dead_code,0,,0,,0,8,4,4,28.000,20.000,100.000,0.000,0.000,0.000,0.000,21.429,0.000,572
dead_code_advanced_003,full,advanced,Scientific Computing,Compare,dead_code,0,,0,,11,15,1,2,48.000,27.000,100.000,0.000,0.000,0.000,0.000,4.167,14.000,645
dead_code_advanced_004,full,advanced,General Software,Compare,dead_code,1,duplicate_code,1,duplicate_code,0,18,0,1,49.000,34.000,47.166,72.000,2.727,196.364,5.000,0.000,1.000,733
dead_code_advanced_005,full,advanced,E-commerce,Report,dead_code,2,dead_code;magic_number,2,dead_code;magic_number,5,8,0,3,53.000,36.000,64.919,78.869,5.000,394.346,18.000,11.321,18.000,981
speculative_generality_basic_001,full,basic,E-commerce,Compare,,0,,0,,0,7,4,1,23.000,11.000,100.000,0.000,0.000,0.000,0.000,4.348,3.000,357
speculative_generality_basic_002,full,basic,Finance,Implement,,0,,0,,4,8,0,2,30.000,17.000,65.622,39.863,1.000,39.863,4.000,3.333,9.000,513
speculative_generality_basic_003,full,basic,Healthcare,Evaluate,,1,dead_code,1,dead_code,13,0,0,0,25.000,1.000,88.489,4.755,0.500,2.377,4.000,28.000,15.000,612
speculative_generality_basic_004,full,basic,Scientific Computing,Write,,1,magic_number,1,magic_number,0,7,1,1,33.000,31.000,53.753,42.110,0.833,35.092,6.000,0.000,7.000,412
speculative_generality_basic_005,full,basic,General Software,Measure,,2,dead_code;magic_number,2,dead_code;magic_number,0,3,0,7,56.000,28.000,42.936,223.480,3.523,787.258,18.000,0.000,17.000,826
speculative_generality_basic_006,full,basic,E-commerce,Report,,0,,0,,0,7,4,1,23.000,11.000,100.000,0.000,0.000,0.000,0.000,4.348,3.000,357
speculative_generality_intermediate_001,full,intermediate,Finance,Measure,,1,magic_number,1,magic_number,0,6,1,1,31.000,26.000,75.352,31.020,0.800,24.816,5.000,12.903,4.000,529
speculative_generality_intermediate_002,full,intermediate,Healthcare,Design,,1,magic_number,1,magic_number,2,5,3,1,22.000,17.000,81.916,12.000,0.667,8.000,3.000,13.636,5.000,400
speculative_generality_intermediate_003,full,intermediate,Scientific Computing,Analyze,,2,dead_code;magic_number,2,dead_code;magic_number,0,6,0,4,32.000,16.000,63.747,51.891,1.875,97.297,10.000,3.125,10.000,512
speculative_generality_intermediate_004,full,intermediate,General Software,Analyze,,0,,1,dead_code,16,0,0,0,32.000,2.000,100.000,0.000,0.000,0.000,0.000,6.250,5.000,664
speculative_generality_intermediate_005,full,intermediate,E-commerce,Design,,0,,1,dead_code,2,2,0,2,11.000,2.000,70.690,4.755,0.500,2.377,0.000,0.000,6.000,604
speculative_generality_advanced_001,full,advanced,Finance,Implement,,1,dead_code,1,dead_code,4,6,0,4,33.000,15.000,66.773,20.680,2.500,51.699,3.000,3.030,15.000,647
speculative_generality_advanced_002,full,advanced,Healthcare,Analyze,,0,,0,,0,,,,1.000,,,,,,,0.000,,802
speculative_generality_advanced_003,full,advanced,Scientific Computing,Write,,1,dead_code,1,dead_code,5,4,0,8,49.000,4.000,100.000,0.000,0.000,0.000,0.000,22.449,23.000,920
speculative_generality_advanced_004,full,advanced,General Software,Measure,,0,,0,,0,,,,1.000,,,,,,,0.000,,626
speculative_generality_advanced_005,full,advanced,E-commerce,Design,,1,dead_code,1,dead_code,4,6,0,4,33.000,15.000,66.773,20.680,2.500,51.699,3.000,3.030,15.000,647
primitive_obsession_basic_001,full,basic,E-commerce,Design,,1,dead_code,1,dead_code,0,1,0,7,9.000,2.000,92.802,4.755,0.500,2.377,1.000,11.111,1.000,280
primitive_obsession_basic_002,full,basic,Finance,Recommend,,0,,0,,2,1,0,1,4.000,1.000,100.000,0.000,0.000,0.000,0.000,25.000,3.000,159
primitive_obsession_basic_003,full,basic,Healthcare,Compare,,1,magic_number,1,magic_number,1,1,0,5,8.000,4.000,92.980,46.605,1.500,69.907,2.000,37.500,3.000,277
primitive_obsession_basic_004,full,basic,Scientific Computing,Design,,0,,0,,1,1,0,2,4.000,1.000,100.000,0.000,0.000,0.000,0.000,75.000,4.000,196
primitive_obsession_basic_005,full,basic,General Software,Design,,0,,0,,0,1,0,2,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,384
primitive_obsession_basic_006,full,basic,E-commerce,Implement,,0,,0,,0,1,0,1,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,201
